"Key";"Source";"Translation";"Context"
"block.fossil.mutant_tree_pressure_plate";"Mutant Tree Pressure Plate";"Mutantenbaumdruckplatte";""
"block.fossil.mutant_tree_sapling";"Mutant Tree Sapling";"Mutantenbaumsetzling";""
"block.fossil.mutant_tree_slab";"Mutant Tree Wood Slab";"Mutantenbaumstufe";""
"block.fossil.mutant_tree_stairs";"Mutant Tree Wood Stairs";"Mutantenbaumtreppe";""
"block.fossil.mutant_tree_trapdoor";"Mutant Tree Trapdoor";"Mutantenbaumfalltür";""
"block.fossil.mutant_tree_wood";"Mutant Tree Wood";"Mutantenbaumholz";""
"block.fossil.mutant_tree_vine";"Mutant Tree Vines";"Mutantenbaumranken";""
"block.fossil.palm_button";"Palm Button";"Palaeorapheknopf";""
"block.fossil.palm_door";"Palm Door";"Palaeoraphetür";""
"block.fossil.palm_fence";"Palm Fence";"Palaeoraphezaun";""
"block.fossil.palm_fence_gate";"Palm Fence Gate";"Palaeoraphezauntor";""
"block.fossil.palm_leaves";"Palm Leaves";"Palaeoraphelaub";""
"block.fossil.palm_log";"Palm Log";"Palaeorapheholz";""
"block.fossil.palm_planks";"Palm Wood Planks";"Palaeoraphebretter";""
"block.fossil.palm_pressure_plate";"Palm Pressure Plate";"Palaeoraphedruckplatte";""
"block.fossil.palm_sapling";"Palm Sapling";"Palaeoraphesetzling";""
"block.fossil.palm_slab";"Palm Wood Slab";"Palaeoraphestufe";""
"block.fossil.palm_stairs";"Palm Wood Stairs";"Paleoraphetreppe";""
"block.fossil.palm_trapdoor";"Palm Trapdoor";"Palaeoraphefalltür";""
"block.fossil.palm_wood";"Palm Wood";"Palaeorapheholz";""
"block.fossil.sigillaria_button";"Sigillaria Button";"Sigillariaknopf";""
"block.fossil.sigillaria_door";"Sigillaria Door";"Sigillariaholztür";""
"block.fossil.sigillaria_fence";"Sigillaria Fence";"Sigillariazaun";""
"block.fossil.sigillaria_fence_gate";"Sigillaria Fence Gate";"Sigillariazauntor";""
"block.fossil.sigillaria_leaves";"Sigillaria Leaves";"Sigillarialaub";""
"block.fossil.sigillaria_log";"Sigillaria Log";"Sigillariastamm";""
"block.fossil.sigillaria_planks";"Sigillaria Wood Planks";"Sigillariaholzbretter";""
"block.fossil.sigillaria_pressure_plate";"Sigillaria Pressure Plate";"Sigillariadruckplatte";""
"block.fossil.sigillaria_sapling";"Sigillaria Sapling";"Sigillariasetzling";""
"block.fossil.sigillaria_slab";"Sigillaria Wood Slab";"Sigillariaholzstufe";""
"block.fossil.sigillaria_stairs";"Sigillaria Wood Stairs";"Sigillariaholztreppe";""
"block.fossil.sigillaria_trapdoor";"Sigillaria Trapdoor";"Sigillariaholzfalltür";""
"block.fossil.sigillaria_wood";"Sigillaria Wood";"Sigillariaholz";""
"block.fossil.shell";"Shell";"Muschel";""
"block.fossil.tempskya_button";"Tempskya Button";"Tempskyaknopf";""
"block.fossil.tempskya_door";"Tempskya Door";"Tempskyaholztür";""
"block.fossil.tempskya_fence";"Tempskya Fence";"Tempskyazaun";""
"block.fossil.tempskya_fence_gate";"Tempskya Fence Gate";"Tempskyazauntor";""
"block.fossil.tempskya_log";"Tempskya Log";"Tempskyastamm";""
"block.fossil.tempskya_planks";"Tempskya Wood Planks";"Tempskyaholzbretter";""
"block.fossil.tempskya_pressure_plate";"Tempskya Pressure Plate";"Tempskyadruckplatte";""
"block.fossil.tempskya_sapling";"Tempskya Sapling";"Tempskyasetzling";""
"block.fossil.tempskya_slab";"Tempskya Wood Slab";"Tempskyaholzstufe";""
"block.fossil.tempskya_stairs";"Tempskya Wood Stairs";"Tempskyaholztreppe";""
"block.fossil.tempskya_trapdoor";"Tempskya Trapdoor";"Tempskyaholzfalltür";""
"block.fossil.tempskya_wood";"Tempskya Wood";"Tempskyaholz";""
"block.fossil.tempskya_top";"Tempskya Top";"Tempskyaspitze";""
"block.fossil.tempskya_leaf";"Tempskya Leaves";"Tempskyalaub";""
"block.fossil.stripped_calamites_log";"Stripped Calamites Log";"Entrindeter Calamitesstamm";""
"block.fossil.stripped_calamites_wood";"Stripped Calamites Wood";"Entrindetes Calamitesholz";""
"block.fossil.stripped_cordaites_log";"Stripped Cordaites Log";"Entrindeter Cordaitesstamm";""
"block.fossil.stripped_cordaites_wood";"Stripped Cordaites Wood";"Entrindetes Cordaitesholz";""
"block.fossil.stripped_mutant_tree_log";"Stripped Mutant Tree Log";"Entrindeter Mutantenbaumstamm";""
"block.fossil.stripped_mutant_tree_wood";"Stripped Mutant Tree Wood";"Entrindetes Mutantenbaumholz";""
"block.fossil.stripped_palm_log";"Stripped Palm Log";"Entrindeter Palmstamm";""
"block.fossil.stripped_palm_wood";"Stripped Palm Wood";"Entrindetes Palmholz";""
"block.fossil.stripped_sigillaria_log";"Stripped Sigillaria Log";"Entrindeter Sigillariastamm";""
"block.fossil.stripped_sigillaria_wood";"Stripped Sigillaria Wood";"Entrindetes Sigillariaholz";""
"block.fossil.stripped_tempskya_log";"Stripped Tempskya Log";"Entrindeter Tempskyastamm";""
"block.fossil.stripped_tempskya_wood";"Stripped Tempskya Wood";"Entrindetes Tempskyaholz";""
"block.fossil.comfy_bed";"Comfy Bed";"Bequemes Bett";""
"block.fossil.culture_vat";"Culture Vat";"Kultivierungsbehälter";""
"block.fossil.dense_sand";"Dense Sand";"Dichter Sand";""
"block.fossil.drum";"Drum";"Trommel";""
"block.fossil.fake_obsidian";"Fake Obsidian";"Falscher Obsidian";""
"block.fossil.feeder";"Feeder";"Fütterer";""
"block.fossil.figurine_anu_destroyed";"Destroyed Anu Figurine";"Zerbrochene Anufigur";""
"block.fossil.figurine_anu_restored";"Restored Anu Figurine";"Restaurierte Anufigur";""
"block.fossil.figurine_anu_pristine";"Pristine Anu Figurine";"Makellose Anufigur";""
"block.fossil.figurine_enderman_destroyed";"Destroyed Enderman Figurine";"Zerbrochene Endermanfigur";""
"block.fossil.figurine_enderman_restored";"Restored Enderman Figurine";"Restaurierte Endermanfigur";""
"block.fossil.figurine_enderman_pristine";"Pristine Enderman Figurine";"Makellose Endermanfigur";""
"block.fossil.figurine_piglin_destroyed";"Destroyed Piglin Figurine";"Zerbrochene Piglinfigur";""
"block.fossil.figurine_piglin_restored";"Restored Piglin Figurine";"Restaurierte Piglinfigur";""
"block.fossil.figurine_piglin_pristine";"Pristine Piglin Figurine";"Makellose Piglinfigur";""
"block.fossil.figurine_skeleton_destroyed";"Destroyed Skeleton Figurine";"Zerbrochene Skelettfigur";""
"block.fossil.figurine_skeleton_restored";"Restored Skeleton Figurine";"Restaurierte Skelettfigur";""
"block.fossil.figurine_skeleton_pristine";"Pristine Skeleton Figurine";"Makellose Skelettfigur";""
"block.fossil.figurine_steve_destroyed";"Destroyed Steve Figurine";"Zerbrochene Stevefigur";""
"block.fossil.figurine_steve_restored";"Restored Steve Figurine";"Restaurierte Stevefigur";""
"block.fossil.figurine_steve_pristine";"Pristine Steve Figurine";"Makellose Stevefigur";""
"block.fossil.figurine_zombie_destroyed";"Destroyed Zombie Figurine";"Zerbrochene Zombiefigur";""
"block.fossil.figurine_zombie_restored";"Restored Zombie Figurine";"Restaurierte Zombiefigur";""
"block.fossil.figurine_zombie_pristine";"Pristine Zombie Figurine";"Makellose Zombiefigur";""
"block.fossil.fossil_calcite";"Calcite Fossil Block";"Kalzitfossil";""
"block.fossil.fossil_deepslate";"Deepslate Fossil Block";"Tiefenschieferfossil";""
"block.fossil.fossil_dripstone";"Dripstone Fossil Block";"Tropfsteinfossil";""
"block.fossil.fossil_red_sandstone";"Red Sandstone Fossil Block";"Rotes Sandsteinfossil";""
"block.fossil.fossil_sandstone";"Sandstone Fossil Block";"Sandsteinfossil";""
"block.fossil.fossil_stone";"Stone Fossil Block";"Steinfossil";""
"block.fossil.fossil_tuff";"Tuff Fossil Block";"Tuffsteinfossil";""
"block.fossil.home_portal";"Overworld Portal";"Oberwelt Portal";""
"block.fossil.anu_portal";"Mysterious Lair Portal";"Mysteriöses Höllenportal";""
"block.fossil.iced_dirt";"Iced Dirt";"Vereiste Erde";""
"block.fossil.obsidian_spikes";"Obsidian Spikes";"Obsidian Stacheln";""
"block.fossil.permafrost_block";"Permafrost Block";"Permafrostblock";""
"block.fossil.reinforced_glass";"Reinforced Glass";"Verstärktes Glas";""
"block.fossil.sarcophagus";"Sarcophagus";"Geheimnisvoller Sarkophag";""
"block.fossil.skull";"Skull Block";"Schädelblock";""
"block.fossil.skull_lantern";"Skull Lantern";"Schädellanterne";""
"block.fossil.sifter";"Sifter";"Sieb";""
"block.fossil.slime_trail";"Slime Trail";"Fehlersaurier-Spur";""
"block.fossil.tar";"Tar";"Teer";""
"block.fossil.tarred_dirt";"Tarred Dirt";"Geteerte Erde";""
"block.fossil.worktable";"Archeology Workbench";"Archäologen-Werkbank";""
"block.fossil.vase_amphora_white";"White Amphora";"Weiße Amphore";""
"block.fossil.vase_amphora_orange";"Orange Amphora";"Orange Amphore";""
"block.fossil.vase_amphora_magenta";"Magenta Amphora";"Magenta Amphore";""
"block.fossil.vase_amphora_light_blue";"Light Blue Amphora";"Hellblaue Amphore";""
"block.fossil.vase_amphora_yellow";"Yellow Amphora";"Gelbe Amphore";""
"block.fossil.vase_amphora_lime";"Lime Amphora";"Hellgrüne Amphore";""
"block.fossil.vase_amphora_pink";"Pink Amphora";"Rosa Amphore";""
"block.fossil.vase_amphora_gray";"Gray Amphora";"Graue Amphore";""
"block.fossil.vase_amphora_light_gray";"Light Gray Amphora";"Hellgraue Amphore";""
"block.fossil.vase_amphora_cyan";"Cyan Amphora";"Türkise Amphore";""
"block.fossil.vase_amphora_purple";"Purple Amphora";"Violette Amphore";""
"block.fossil.vase_amphora_blue";"Blue Amphora";"Blaue Amphore";""
"block.fossil.vase_amphora_brown";"Brown Amphora";"Braune Amphore";""
"block.fossil.vase_amphora_green";"Green Amphora";"Grüne Amphore";""
"block.fossil.vase_amphora_red";"Red Amphora";"Rote Amphore";""
"block.fossil.vase_amphora_black";"Black Amphora";"Schwarze Amphore";""
"block.fossil.vase_amphora_damaged";"Damaged Amphora";"Zerbrochene Amphore";""
"block.fossil.vase_amphora_restored";"Restored Amphora";"Restaurierte Amphore";""
"block.fossil.vase_kylix_white";"White Kylix";"Weiße Kylix";""
"block.fossil.vase_kylix_orange";"Orange Kylix";"Orange Kylix";""
"block.fossil.vase_kylix_magenta";"Magenta Kylix";"Magenta Kylix";""
"block.fossil.vase_kylix_light_blue";"Light Blue Kylix";"Hellblaue Kylix";""
"block.fossil.vase_kylix_yellow";"Yellow Kylix";"Gelbe Kylix";""
"block.fossil.vase_kylix_lime";"Lime Kylix";"Hellgrüne Kylix";""
"block.fossil.vase_kylix_pink";"Pink Kylix";"Rosa Kylix";""
"block.fossil.vase_kylix_gray";"Gray Kylix";"Graue Kylix";""
"block.fossil.vase_kylix_light_gray";"Light Gray Kylix";"Hellgraue Kylix";""
"block.fossil.vase_kylix_cyan";"Cyan Kylix";"Türkise Kylix";""
"block.fossil.vase_kylix_purple";"Purple Kylix";"Violette Kylix";""
"block.fossil.vase_kylix_blue";"Blue Kylix";"Blaue Kylix";""
"block.fossil.vase_kylix_brown";"Brown Kylix";"Braune Kylix";""
"block.fossil.vase_kylix_green";"Green Kylix";"Grüne Kylix";""
"block.fossil.vase_kylix_red";"Red Kylix";"Rote Kylix";""
"block.fossil.vase_kylix_black";"Black Kylix";"Schwarze Kylix";""
"block.fossil.vase_kylix_damaged";"Damaged Kylix";"Zerbrochene Kylix";""
"block.fossil.vase_kylix_restored";"Restored Kylix";"Restaurierte Kylix";""
"block.fossil.vase_volute_white";"White Volute";"Weiße Volute";""
"block.fossil.vase_volute_orange";"Orange Volute";"Orange Volute";""
"block.fossil.vase_volute_magenta";"Magenta Volute";"Magenta Volute";""
"block.fossil.vase_volute_light_blue";"Light Blue Volute";"Hellblaue Volute";""
"block.fossil.vase_volute_yellow";"Yellow Volute";"Gelbe Volute";""
"block.fossil.vase_volute_lime";"Lime Volute";"Hellgrüne Volute";""
"block.fossil.vase_volute_pink";"Pink Volute";"Rosa Volute";""
"block.fossil.vase_volute_gray";"Gray Volute";"Graue Volute";""
"block.fossil.vase_volute_light_gray";"Light Gray Volute";"Hellgraue Volute";""
"block.fossil.vase_volute_cyan";"Cyan Volute";"Türkise Volute";""
"block.fossil.vase_volute_purple";"Purple Volute";"Violette Volute";""
"block.fossil.vase_volute_blue";"Blue Volute";"Blaue Volute";""
"block.fossil.vase_volute_brown";"Brown Volute";"Braune Volute";""
"block.fossil.vase_volute_green";"Green Volute";"Grüne Volute";""
"block.fossil.vase_volute_red";"Red Volute";"Rote Volute";""
"block.fossil.vase_volute_black";"Black Volute";"Schwarze Volute";""
"block.fossil.vase_volute_damaged";"Damaged Volute";"Zerbrochene Volute";""
"block.fossil.vase_volute_restored";"Restored Volute";"Restaurierte Volute";""
"block.fossil.volcanic_ash";"Volcanic Ash";"Vulkanische Asche";""
"block.fossil.volcanic_rock";"Volcanic Rock";"Vulkanischer Felsen";""
"block.fossil.volcanic_bricks";"Volcanic Bricks";"Vulkanischer Ziegel";""
"block.fossil.volcanic_brick_slab";"Volcanic Slab";"Vulkanische Stufe";""
"block.fossil.volcanic_brick_stairs";"Volcanic Stairs";"Vulkanische Treppe";""
"block.fossil.volcanic_brick_wall";"Volcanic Wall";"Vulkanische Mauer";""
"block.fossil.volcanic_tiles";"Volcanic Tiles";"Vulkanische Fliesen";""
"block.fossil.volcanic_tile_slab";"Volcanic Slab";"Vulkanische Fliesenstufe";""
"block.fossil.volcanic_tile_stairs";"Volcanic Stairs";"Vulkanische Fliesentreppe";""
"block.fossil.volcanic_tile_wall";"Volcanic Wall";"Vulkanische Fliesenmauer";""
"block.fossil.bennettitales_large";"Large Bennettitales";"Hohe Bennettitales";""
"block.fossil.bennettitales_small";"Small Bennettitales";"Kleine Bennettitales";""
"block.fossil.cephalotaxus";"Cephalotaxus";"Cephalotaxus";""
"block.fossil.crataegus";"Crataegus";"Crataegus";""
"block.fossil.cyathea";"Cyathea";"Cyathea";""
"block.fossil.dictyophyllum";"Dictyophyllum";"Dictyophyllum";""
"block.fossil.dillhoffia";"Dillhoffia";"Dillhoffia";""
"block.fossil.dipteris";"Dipteris";"Dipteris";""
"block.fossil.duisbergia";"Duisbergia";"Duisbergia";""
"block.fossil.ephedra";"Ephedra";"Ephedra";""
"block.fossil.florissantia";"Florissantia";"Florissantia";""
"block.fossil.foozia";"Foozia";"Foozia";""
"block.fossil.horsetail_large";"Large Horsetail";"Hoher Schachtelhalm";""
"block.fossil.horsetail_small";"Small Horsetail";"Schachtelhalm";""
"block.fossil.licopodiophyta";"Licopodiophyta";"Licopodiophyta";""
"block.fossil.mutant_plant";"Mutant Plant";"Mutanten Pflanze";""
"block.fossil.osmunda";"Osmunda";"Osmunda";""
"block.fossil.sagenopteris";"Sagenopteris";"Sagenopteris";""
"block.fossil.sarracenia";"Sarracenia";"Sarracenia";""
"block.fossil.vaccinium";"Vaccinium";"Vaccinium";""
"block.fossil.welwitschia";"Welwitschia";"Welwitschia";""
"block.fossil.zamites";"Zamites";"Zamiten";""
"block.fossil.plant_ferns";"Prehistoric Ferns";"Prehistorischer Farn";""
"effect.fossil.comfy_bed";"Scent Of The Wild";"Duft der Wildnis";""
"enchantment.fossil.archeology";"Archeology";"Archäologie";""
"enchantment.fossil.archeology.desc";"Increases the likelihood of getting archeology related items (especially relic scrap and scarab gems)";"Erhöht die Wahrscheinlichkeit, archäologiebezogene Gegenstände zu erhalten (insbesondere Reliktschrott und Skarabäen)";""
"enchantment.fossil.paleontology";"Paleontology";"Paläontologie";""
"enchantment.fossil.paleontology.desc";"Increases the likelihood of getting paleontology related items (especially fossils)";"Erhöht die Wahrscheinlichkeit, paläontologische Gegenstände zu erhalten (insbesondere Fossilien)";""
"entity.minecraft.villager.fossil.paleontologist";"Paleontologist";"Paläontologe";""
"entity.minecraft.villager.fossil.archeologist";"Archeologist";"Archäologe";""
"entity.minecraft.villager.paleontologist";"Paleontologist";"Paläontologe";""
"entity.minecraft.villager.archeologist";"Archeologist";"Archäologe";""
"entity.fossil.laser_point";"Laser Dot";"Laserpunkt";""
"entity.fossil.alligator_gar";"Alligator Gar";"Alligatorhecht";""
"entity.fossil.allosaurus";"Allosaurus";"Allosaurus";""
"entity.fossil.ankylosaurus";"Ankylosaurus";"Ankylosaurus";""
"entity.fossil.aquilolamna";"Aquilolamna";"Aquilolamna";""
"entity.fossil.arthropleura";"Arthropleura";"Arthropleura";""
"entity.fossil.brachiosaurus";"Brachiosaurus";"Brachiosaurus";""
"entity.fossil.ceratosaurus";"Ceratosaurus";"Ceratosaurus";""
"entity.fossil.citipati";"Citipati";"Citipati";""
"entity.fossil.coelacanth";"Coelacanth";"Quastenflosser";""
"entity.fossil.compsognathus";"Compsognathus";"Compsognathus";""
"entity.fossil.confuciusornis";"Confuciusornis";"Confuciusornis";""
"entity.fossil.crassigyrinus";"Crassigyrinus";"Crassigyrinus";""
"entity.fossil.deinonychus";"Deinonychus";"Deinonychus";""
"entity.fossil.dimetrodon";"Dimetrodon";"Dimetrodon";""
"entity.fossil.dimorphodon";"Dimorphodon";"Dimorphodon";""
"entity.fossil.dilophosaurus";"Dilophosaurus";"Dilophosaurus";""
"entity.fossil.diplocaulus";"Diplocaulus";"Diplocaulus";""
"entity.fossil.diplodocus";"Diplodocus";"Diplodocus";""
"entity.fossil.dodo";"Dodo";"Dodo";""
"entity.fossil.dryosaurus";"Dryosaurus";"Dryosaurus";""
"entity.fossil.edaphosaurus";"Edaphosaurus";"Edaphosaurus";""
"entity.fossil.elasmotherium";"Elasmotherium";"Elasmotherium";""
"entity.fossil.gallimimus";"Gallimimus";"Gallimimus";""
"entity.fossil.gastornis";"Gastornis";"Gastornis";""
"entity.fossil.henodus";"Henodus";"Henodus";""
"entity.fossil.ichthyosaurus";"Ichthyosaurus";"Ichthyosaurus";""
"entity.fossil.kelenken";"Kelenken";"Kelenken";""
"entity.fossil.liopleurodon";"Liopleurodon";"Liopleurodon";""
"entity.fossil.mammoth";"Mammoth";"Mammut";""
"entity.fossil.megalania";"Megalania";"Megalania";""
"entity.fossil.megaloceros";"Megaloceros";"Megaloceros";""
"entity.fossil.megalodon";"Megalodon";"Megalodon";""
"entity.fossil.megalograptus";"Megalograptus";"Megalograptus";""
"entity.fossil.meganeura";"Meganeura";"Meganeura";""
"entity.fossil.mosasaurus";"Mosasaurus";"Mosasaurus";""
"entity.fossil.nautilus";"Nautilus";"Nautilus";""
"entity.fossil.ornitholestes";"Ornitholestes";"Ornitholestes";""
"entity.fossil.pachycephalosaurus";"Pachycephalosaurus";"Pachycephalosaurus";""
"entity.fossil.pachyrhinosaurus";"Pachyrhinosaurus";"Pachyrhinosaurus";""
"entity.fossil.parasaurolophus";"Parasaurolophus";"Parasaurolophus";""
"entity.fossil.phorusrhacos";"Phorusrhacos";"Phorusrhacos";""
"entity.fossil.platybelodon";"Platybelodon";"Platybelodon";""
"entity.fossil.plesiosaurus";"Plesiosaurus";"Plesiosaurus";""
"entity.fossil.postosuchus";"Postosuchus";"Postosuchus";""
"entity.fossil.protoceratops";"Protoceratops";"Protoceratops";""
"entity.fossil.psittacosaurus";"Psittacosaurus";"Psittacosaurus";""
"entity.fossil.pteranodon";"Pteranodon";"Pteranodon";""
"entity.fossil.quagga";"Quagga";"Quagga";""
"entity.fossil.quetzalcoatlus";"Quetzalcoatlus";"Quetzalcoatlus";""
"entity.fossil.sarcosuchus";"Sarcosuchus";"Sarcosuchus";""
"entity.fossil.smilodon";"Smilodon";"Säbelzahntiger";""
"entity.fossil.spinosaurus";"Spinosaurus";"Spinosaurus";""
"entity.fossil.stegosaurus";"Stegosaurus";"Stegosaurus";""
"entity.fossil.sturgeon";"Sturgeon";"Stör";""
"entity.fossil.therizinosaurus";"Therizinosaurus";"Therizinosaurus";""
"entity.fossil.tiktaalik";"Tiktaalik";"Tiktaalik";""
"entity.fossil.titanis";"Titanis";"Titanis";""
"entity.fossil.triceratops";"Triceratops";"Triceratops";""
"entity.fossil.dicranurus";"Dicranurus";"Dicranurus";""
"entity.fossil.lonchodomas";"Lonchodomas";"Lonchodomas";""
"entity.fossil.scotoharpes";"Scotoharpes";"Scotoharpes";""
"entity.fossil.walliserops";"Walliserops";"Walliserops";""
"entity.fossil.tropeognathus";"Tropeognathus";"Tropeognathus";""
"entity.fossil.tyrannosaurus";"Tyrannosaurus";"Tyrannosaurus";""
"entity.fossil.velociraptor";"Velociraptor";"Velociraptor";""
"entity.fossil.anubite";"Anubite";"Anubit";""
"entity.fossil.anu_boss";"Anu";"Anu";""
"entity.fossil.anu.ancient";"Anu: Trying to use my magic against me? Bad Idea.";"Anu: Meine Magie gegen mich verwenden? Schlechte Idee.";""
"entity.fossil.anu.archers";"Anu: Archers, fire!";"Anu: Bogenschützen, feuer!";""
"entity.fossil.anu.blazes";"Anu: Blazes! Destroy the enemy!";"Anu: Lohen! Vernichtet den Feind!";""
"entity.fossil.anu.break_block";"You cannot break blocks here without defeating Anu.";"Du kannst hier keine Blöcke abbauen, ohne Anu zu besiegen.";""
"entity.fossil.anu.brutes";"Anu: Brutes, wake up your wisdom.";"Anu: Hohlköpfe, strengt euch etwas mehr an.";""
"entity.fossil.anu.coward";"Anu: Bow using coward! Stop hiding!";"Anu: Bögen nutzen nur Feiglinge! Zeig dich!";""
"entity.fossil.anu.death";"Anu: NO!!!";"Anu: NEEIIN!!!";""
"entity.fossil.anu.draw";"Anu: DRAW YOUR SWORD.";"Anu: ZIEH DEIN SCHWERT.";""
"entity.fossil.anu.fewBeaten";"Anu: Few have beaten me. Prepare to die.";"Anu: Nur wenige haben mich geschlagen. Bereite dich auf deinen Tod vor.";""
"entity.fossil.anu.fist";"Anu: Bare hands... Stupid, but brave.";"Anu: Unbewaffnet... Dumm, aber tapfer.";""
"entity.fossil.anu.hello";"Anu: Kneel before me, resistance is futile.";"Anu: Auf die Knie, Widerstand ist zwecklos.";""
"entity.fossil.anu_dead";"Dead Anu";"Toter Anu";""
"entity.fossil.anu_totem";"Anu Totem";"Anu Totem";""
"entity.fossil.dinosaur_egg";"Dinosaur Egg";"Dinosaurier Ei";""
"entity.fossil.dinosaur_egg.hatched";"A prehistoric egg has hatched!";"Ein prähistorisches Ei ist geschlüpft!";""
"entity.fossil.order.stay";"%s is staying";"%s wartet";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.order.wander";"%s is wandering";"%s wandert";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.order.follow";"%s is following";"%s folgt dir";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.situation.betrayed";"This %s has been betrayed!";"%s wurde betrogen!";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.situation.full";"This %s is full.";"%s hat keinen Hunger.";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.friendly_piglin";"Friendly Zombie Piglin";"Freundlicher Piglin";""
"entity.fossil.friendly_piglin.kill";"I have killed another creature for you!";"Gezähmter Piglin: Ich habe eine andere Kreatur für Sie getötet!";""
"entity.fossil.friendly_piglin.summon";"My Lord! I will fight for you till the death!";"Gezähmter Piglin: Mein Herr! Ich werde bis in den Tod für euch kämpfen!";""
"entity.fossil.prehistoric.tamed";"You have tamed this %s";"Du hast das %s gezähmt.";"Keep the variable %s. It will be replaced with the translated name of the mob"
"entity.fossil.failuresaurus";"Failuresaurus";"Fehlersaurier";""
"entity.fossil.javelin";"Javelin";"Speer";""
"entity.fossil.stone_tablet";"Stone Tablet";"Steintafel";""
"entity.fossil.sentry_piglin";"Sentry Piglin";"Piglinwache";""
"entity.fossil.tar_slime";"Tar Slime";"Teerschleim";""
"entity.fossil.toy_ball";"Ball";"Ball";""
"entity.fossil.toy_tethered_log";"Tethered Log";"Holz am Seil";""
"entity.fossil.toy_scratching_post";"Scratching Post";"Kratzbaum";""
"entity.fossil.thrown_bird_egg";"Bird Egg";"Vogelei";""
"entity.fossil.flying.disabled";"Flying has been disabled on this server";"Fliegen ist auf diesem Server verboten";""
"itemGroup.fossil.fa_block_tab";"Fossil Revival Blocks";"F&A Baumaterial";""
"itemGroup.fossil.fa_mob_item_tab";"Fossil Revival Mob Items";"F&A Gegenstände: Mobs";""
"itemGroup.fossil.fa_other_item_tab";"Fossil Revival Other Items";"F&A Gegenstände: Anderes";""
"prehistoric.essence_fail_adult";"This prehistoric mob is fully grown!";"Diese prähistorische Kreatur ist ausgewachsen!";""
"prehistoric.essence_fail_hungry";"This prehistoric mob is too hungry!";"Diese prähistorische Kreatur ist zu hungrig!";""
"culture_vat.outBreak";"Cultivation has failed!";"Die Kultivierung ist fehlgeschlagen!";""
"container.fossil.feeder";"Feeder";"Feeder";""
"container.fossil.culture_vat";"Culture Vat";"Culture Vat";""
"container.fossil.sifter";"Sifter";"Sifter";""
"container.fossil.analyzer";"Analyzer";"Analyzer";""
"container.fossil.worktable";"Archeology Workbench";"Archeology Workbench";""
"death.attack.fossil.aquatic_suffocate";"%1$s suffocated on land";"%1$s ist an Land erstickt";""
"death.attack.fossil.aquatic_suffocate.player";"%1$s suffocated on land whilst trying to escape %2$s";"%1$s ist an Land erstickt beim Versuch, %2$s zu entkommen";""
"pedia.fossil.activity";"Activity: %s";"Aktivität: %s";"Keep the variable %s. It will be replaced with the translated name of the activity type"
"pedia.fossil.activity.both";"Cathemeral";"Kathemeral";""
"pedia.fossil.activity.diurnal";"Diurnal";"Tagaktiv";""
"pedia.fossil.activity.nocturnal";"Nocturnal";"Nachtaktiv";""
"pedia.fossil.activity.both.desc";"This mob is active both during the day and night.";"Dieses Tier ist im Laufe des Tages aktiv.";""
"pedia.fossil.activity.diurnal.desc";"This mob is active during the day.";"Dieses Tier ist während des Tages aktiv.";""
"pedia.fossil.activity.nocturnal.desc";"This mob is active during the night.";"Dieses Tier ist in der Nacht aktiv.";""
"pedia.fossil.age";"Age: %s";"Alter: %s";"Keep the variable %s. It will be replaced with a number"
"pedia.fossil.condition.not_sheared";"This mob can be sheared";"Dieses Tier kann geschoren werden";""
"pedia.fossil.condition.sheared";"This mob was recently sheared";"Dieses Tier wurde kürzlich geschoren";""
"pedia.fossil.condition.stunted";"This mob's growth has been stunted. It can no longer age up";"Das Wachstum dieses Tieres ist gehemmt. Es kann nicht mehr altern";""
"pedia.fossil.diet";"Diet: %s";"Ernährung: %s";"Keep the variable %s. It will be replaced with the translated name of the diet type"
"pedia.fossil.diet.carnivore";"Carnivore";"Fleischfresser";""
"pedia.fossil.diet.carnivore_egg";"Ovivorous Carnivore";"Eierfressender Fleischfresser";""
"pedia.fossil.diet.herbivore";"Herbivore";"Pflanzenfresser";""
"pedia.fossil.diet.insectivore";"Insectivore";"Insektenfresser";""
"pedia.fossil.diet.none";"None";"Keine";""
"pedia.fossil.diet.omnivore";"Omnivore";"Allesfresser";""
"pedia.fossil.diet.passive";"Self-feeding";"Passiv";""
"pedia.fossil.diet.piscivore";"Piscivore";"Fischfresser";""
"pedia.fossil.diet.pisci_carnivore";"Carnivorous Piscivore";"Fleischfressender Fischfresser";""
"pedia.fossil.diet.carnivore.desc";"This animal eats meat.";"Dieses Tier frisst Fleisch.";""
"pedia.fossil.diet.carnivore_egg.desc";"This animal eats eggs and meat.";"Dieses Tier frisst Eier und Fleisch.";""
"pedia.fossil.diet.herbivore.desc";"This animal eats plants.";"Dieses Tier frisst Pflanzen.";""
"pedia.fossil.diet.insectivore.desc";"This animal eats insects.";"Dieses Tier frisst Insekten.";""
"pedia.fossil.diet.none.desc";"This animal does not eat.";"Dieses Tier frisst nicht.";""
"pedia.fossil.diet.omnivore.desc";"This animal eats both plants and meat.";"Dieses Tier frisst Pflanzen und Fleisch.";""
